"Barcode","Cluster.dif0","Cluster.dif1","Cluster.dif2"
"bu0603",1,1,1
"bu0604",2,2,2
"bu0606",3,3,3
"bu0607",4,4,4
"bu0608",5,5,5
"bu0609",6,6,6
"bu0610",7,7,7
"bu0611",8,8,8
"bu0613",9,9,9
"bu0614",10,10,10
"bu0615",11,11,11
"bu0616",12,12,12
"bu0619",13,13,13
"bu0620",14,14,14
"bu0621",15,15,15
"bu0622",16,16,16
"bu0623",17,17,17
"bu0624",18,18,18
"bu0625",19,19,14
"bu0626",20,20,19
"bu0631",21,21,20
"bu0632",22,22,21
"bu0637",23,23,22
"bu0638",24,24,23
"bu0643",25,25,24
"bu0644",26,26,25
"bu0649",27,27,26
"bu0650",28,28,27
"bu0655",29,29,28
"bu0628",30,30,29
"bu0634",31,31,30
"bu0639",32,32,31
"bu0645",33,33,32
"bu0646",34,34,33
"bu0651",35,35,34
"bu0652",36,36,35
"bu0656",37,37,20
"bu0657",38,35,34
"bu0598",39,38,36
"bu0599",40,39,37
"bu0601",41,40,38
"bu0602",42,41,39
"bu0629",43,42,40
"bu0635",44,43,41
"bu0636",45,30,29
"bu0642",46,44,42
"bu0647",47,45,43
"bu0653",48,46,44
"bu0658",49,47,45
"bu0660",50,48,46
"bu0661",51,49,47
"bu0665",52,50,48
"bu0669",53,51,49
"bu0673",54,52,38
"bu0662",55,53,50
"bu0663",56,54,51
"bu0666",57,55,52
"bu0667",58,56,53
"bu0670",59,57,54
"bu0671",60,58,55
"bu0674",61,59,56
"bu0675",62,60,57
"bu0677",63,61,58
"bu0678",64,62,59
"bu0682",65,63,56
"bu0664",66,64,60
"bu0672",67,61,58
"bu0676",68,39,37
"bu0679",69,65,61
"bu0680",70,66,62
"bu0683",71,67,63
"bu0684",72,68,47
"bu0740",73,69,64
"bu0743",74,70,65
"bu0741",75,71,66
"bu0742",76,72,67
"bu0744",77,73,68
"bu0745",78,74,69
"bu0747",79,75,70
"bu0749",80,76,71
"bu0750",81,77,72
"bu0752",82,78,73
"bu0753",37,37,20
"bu0757",83,79,74
"bu0759",84,80,75
"bu0763",85,81,76
"bu0764",68,39,37
"bu0765",86,82,77
"bu0769",87,83,78
"bu0771",88,84,79
"bu0775",89,85,80
"bu0776",90,86,81
"bu0777",91,87,82
"bu0780",92,88,83
"bu0781",93,89,57
"bu0782",94,90,84
"bu0754",95,91,85
"bu0766",96,92,86
"bu0772",97,93,87
"bu0778",98,93,87
"bu0783",99,94,88
"bu0761",100,95,89
"bu0767",101,96,90
"bu0756",102,97,91
"bu0762",24,24,23
"bu0768",103,98,92
"bu0773",80,76,71
"bu0774",104,99,93
"bu0779",105,100,94
"bu0784",106,101,95
"bu0785",77,73,68
"bu0786",107,102,96
"bu0798",108,103,97
"bu0810",109,104,98
"bu0816",110,105,99
"bu0748",111,106,100
"bu0788",112,107,101
"bu0793",113,73,68
"bu0794",114,108,102
"bu0799",115,109,103
"bu0800",116,110,104
"bu0789",117,111,105
"bu0795",118,112,106
"bu0801",119,113,107
"bu0806",120,114,108
"bu0807",121,115,109
"bu0818",122,116,110
"bu0819",108,103,97
"bu0791",123,117,111
"bu0797",124,118,112
"bu0802",125,119,113
"bu0803",126,120,114
"bu0808",127,121,115
"bu0809",128,122,116
"bu0820",129,123,117
"bu0821",129,123,117
"bu0822",130,124,118
"bu0746",131,125,119
"bu0811",132,126,120
"bu0823",133,127,72
"bu0824",134,128,121
"bu0825",135,129,110
"bu0827",136,130,122
"bu0895",137,131,123
"bu0903",138,132,124
"bu0908",139,133,125
"bu0913",140,134,126
"bu0909",141,135,127
"bu0914",142,136,128
"bu0918",143,137,129
"bu0897",144,138,130
"bu0910",145,139,131
"bu0915",146,140,132
"bu0920",147,141,128
"bu0898",148,142,133
"bu0901",149,143,134
"bu0902",150,144,135
"bu0906",151,145,136
"bu0907",152,146,137
"bu0923",153,147,138
"bu0928",154,148,139
"bu0929",155,149,140
"bu0934",156,150,141
"bu0935",157,151,142
"bu0952",158,152,143
"bu0911",159,153,144
"bu0916",160,154,145
"bu0921",161,155,146
"bu0925",162,156,147
"bu0930",163,157,148
"bu0936",164,158,149
"bu0942",165,159,150
"bu0947",166,160,151
"bu0948",167,161,152
"bu0926",168,162,153
"bu0937",169,163,154
"bu0944",170,164,155
"bu0949",171,165,156
"bu0939",172,166,157
"bu0951",173,167,158
"bu0958",174,168,159
"bu0959",175,169,160
"bu0964",176,170,161
"bu0965",177,171,162
"bu0966",178,172,163
"bu0970",179,173,164
"bu0976",180,174,165
"bu0982",181,175,166
"bu0983",182,176,167
"bu0988",183,177,168
"bu0077",184,178,169
"bu0961",185,179,170
"bu0962",186,180,171
"bu0963",187,181,172
"bu0967",188,182,173
"bu0968",189,183,174
"bu0969",190,184,175
"bu0974",191,185,176
"bu0975",192,186,177
"bu0979",193,187,128
"bu0980",194,136,128
"bu0984",195,188,178
"bu0989",196,189,179
"bu1037",197,190,180
"bu1038",198,191,181
"bu1039",199,192,182
"bu1040",200,193,183
"bu1041",201,194,184
"bu1051",202,195,185
"bu1057",203,196,186
"bu1042",200,193,183
"bu1048",200,193,183
"bu1049",204,197,187
"bu1052",205,136,128
"bu1053",206,198,188
"bu1054",207,199,188
"bu1058",208,200,189
"bu1059",200,193,183
"bu1060",200,193,183
"bu1065",209,201,190
"bu1067",210,202,191
"bu1069",211,203,192
"bu1070",212,204,193
"bu1072",213,205,183
"bu1073",214,205,183
"bu0002",215,206,194
"bu1056",216,207,195
"bu1068",217,207,195
"bu1078",218,208,196
"bu1080",213,205,183
"bu1081",219,200,189
"bu1082",220,209,197
"bu1083",219,200,189
"bu1084",221,210,198
"bu1086",222,211,199
"bu0004",223,212,200
"bu0005",224,213,201
"bu0006",225,214,202
"bu0007",223,212,200
"bu0009",226,193,183
"bu0012",227,202,191
"bu0013",200,193,183
"bu0014",228,215,203
"bu0017",229,216,204
"bu0023",230,217,205
"bu0024",231,218,206
"bu0758",232,219,207
"bu0026",233,220,208
"bu0027",234,221,209
"bu0028",112,107,101
"bu0029",223,212,200
"bu0030",235,222,210
"bu0031",236,136,128
"bu0032",237,223,211
"bu0033",238,202,191
"bu0034",238,202,191
"bu0035",239,224,212
"bu0037",240,225,213
"bu0041",228,215,203
"bu0045",241,226,214
"bu0047",238,202,191
"bu0048",242,227,215
"bu0051",243,100,94
"bu0053",244,152,143
"bu0054",245,228,216
