"Barcode","QC.sequencing","QC.clustering","Median.depth","Missing.bases","Coverage.percent"
"bu0002",TRUE,TRUE,5707,267,99.1071129986958
"bu0004",TRUE,TRUE,9464,469,98.4315954920911
"bu0005",TRUE,TRUE,6230,717,97.6022472661606
"bu0006",TRUE,TRUE,9343,110,99.632143932047
"bu0007",TRUE,TRUE,7873,487,98.3714008627897
"bu0009",TRUE,TRUE,5035,611,97.9567267498244
"bu0012",TRUE,TRUE,2187,1440,95.1844296558874
"bu0013",TRUE,TRUE,6944,267,99.1071129986958
"bu0014",TRUE,TRUE,9060,267,99.1071129986958
"bu0016",TRUE,FALSE,100,7239,75.7917265826171
"bu0017",TRUE,TRUE,12137,267,99.1071129986958
"bu0023",TRUE,TRUE,15056,0,100
"bu0024",TRUE,TRUE,8199,267,99.1071129986958
"bu0026",TRUE,TRUE,12376,267,99.1071129986958
"bu0027",TRUE,TRUE,721,2225,92.5592749891315
"bu0028",TRUE,TRUE,11781,293,99.020165200816
"bu0029",TRUE,TRUE,7994,489,98.3647125706451
"bu0030",TRUE,TRUE,4718,267,99.1071129986958
"bu0031",TRUE,TRUE,5154,133,99.555228572384
"bu0032",TRUE,TRUE,3463,505,98.3112062334883
"bu0033",TRUE,TRUE,16493,0,100
"bu0034",TRUE,TRUE,5694,376,98.742601076815
"bu0035",TRUE,TRUE,13119,322,98.9231849647193
"bu0037",TRUE,TRUE,513,4961,83.4096913353175
"bu0041",TRUE,TRUE,11593,5,99.9832792696385
"bu0045",TRUE,TRUE,9279,416,98.608835233923
"bu0047",TRUE,TRUE,10958,0,100
"bu0048",TRUE,TRUE,8600,19,99.9364612246263
"bu0051",TRUE,TRUE,11188,0,100
"bu0053",TRUE,TRUE,7915,0,100
"bu0054",TRUE,TRUE,391,2973,90.0578537270508
"bu0055",TRUE,TRUE,41770,0,100
"bu0056",TRUE,TRUE,720,2712,90.9306758519212
"bu0057",TRUE,TRUE,10397,256,99.1438986054911
"bu0058",TRUE,TRUE,1233,1875,93.7297261144367
"bu0059",TRUE,TRUE,2486,1384,95.3717018359362
"bu0062",TRUE,TRUE,923,4701,84.2791693141156
"bu0063",TRUE,TRUE,8552,501,98.3245828177775
"bu0065",TRUE,TRUE,11362,202,99.3244824933953
"bu0066",TRUE,TRUE,9831,0,100
"bu0067",TRUE,TRUE,10784,0,100
"bu0068",TRUE,TRUE,570,3673,87.7169514764405
"bu0069",TRUE,TRUE,10415,665,97.7761428619202
"bu0071",TRUE,TRUE,8890,184,99.3846771226967
"bu0072",TRUE,TRUE,8683,196,99.3445473698291
"bu0073",TRUE,TRUE,1918,1565,94.7664113968498
"bu0074",TRUE,TRUE,2738,1262,95.7796876567568
"bu0075",TRUE,TRUE,8381,137,99.5418519880948
"bu0076",TRUE,TRUE,8127,268,99.1037688526235
"bu0077",TRUE,TRUE,815,2562,91.4322977627663
"bu0079",TRUE,TRUE,6068,501,98.3245828177775
"bu0081",TRUE,TRUE,235,5796,80.6173293649467
"bu0083",TRUE,TRUE,1366,1533,94.8734240711634
"bu0085",TRUE,TRUE,7219,0,100
"bu0087",TRUE,TRUE,13379,753,97.4818580075578
"bu0089",TRUE,TRUE,8110,0,100
"bu0092",TRUE,TRUE,7046,0,100
"bu0094",TRUE,TRUE,8979,0,100
"bu0095",TRUE,TRUE,9685,0,100
"bu0097",TRUE,TRUE,7747,0,100
"bu0098",TRUE,TRUE,5284,267,99.1071129986958
"bu0099",TRUE,TRUE,439,3089,89.6699327826639
"bu0100",TRUE,TRUE,6318,267,99.1071129986958
"bu0101",TRUE,TRUE,6913,247,99.1739959201418
"bu0102",TRUE,TRUE,5541,505,98.3112062334883
"bu0103",TRUE,TRUE,5300,535,98.2108818513193
"bu0104",TRUE,TRUE,3078,891,97.0203658495803
"bu0105",TRUE,TRUE,6162,267,99.1071129986958
"bu0106",TRUE,TRUE,3503,779,97.394910209678
"bu0107",TRUE,TRUE,271,3791,87.322342239909
"bu0108",TRUE,TRUE,5999,353,98.8195164364779
"bu0109",TRUE,TRUE,7069,265,99.1138012908404
"bu0110",TRUE,TRUE,11284,268,99.1037688526235
"bu0111",TRUE,TRUE,7795,199,99.3345149316122
"bu0112",TRUE,TRUE,6976,267,99.1071129986958
"bu0113",TRUE,TRUE,7112,285,99.0469183693944
"bu0114",TRUE,TRUE,6235,267,99.1071129986958
"bu0115",TRUE,TRUE,5325,267,99.1071129986958
"bu0116",TRUE,TRUE,5396,392,98.6890947396582
"bu0117",TRUE,TRUE,6552,0,100
"bu0118",TRUE,TRUE,3885,511,98.2911413570545
"bu0119",TRUE,TRUE,6687,268,99.1037688526235
"bu0120",TRUE,TRUE,5325,0,100
"bu0121",TRUE,TRUE,6233,0,100
"bu0122",TRUE,TRUE,6283,154,99.4850015048657
"bu0123",TRUE,TRUE,5056,268,99.1037688526235
"bu0124",TRUE,TRUE,6166,5,99.9832792696385
"bu0127",TRUE,TRUE,5889,1,99.9966558539277
"bu0128",TRUE,TRUE,275,3610,87.9276326789954
"bu0129",TRUE,TRUE,5495,535,98.2108818513193
"bu0130",TRUE,TRUE,5368,267,99.1071129986958
"bu0131",TRUE,TRUE,4739,0,100
"bu0132",TRUE,TRUE,7087,69,99.7692539210113
"bu0135",TRUE,TRUE,5291,0,100
"bu0136",TRUE,TRUE,1786,1731,94.2112831488479
"bu0137",TRUE,TRUE,4608,507,98.3045179413437
"bu0138",TRUE,TRUE,5204,305,98.9800354479484
"bu0139",TRUE,TRUE,2897,292,99.0235093468883
"bu0140",TRUE,TRUE,5856,0,100
"bu0142",TRUE,TRUE,4352,771,97.4216633782564
"bu0143",TRUE,TRUE,6173,0,100
"bu0144",TRUE,TRUE,5238,208,99.3044176169615
"bu0145",TRUE,TRUE,5918,111,99.6287997859746
"bu0146",TRUE,TRUE,5840,279,99.0669832458282
"bu0147",TRUE,TRUE,231,3322,88.8907467478179
"bu0148",TRUE,TRUE,5607,266,99.1104571447681
"bu0149",TRUE,TRUE,5443,5,99.9832792696385
"bu0151",TRUE,TRUE,6455,60,99.799351235662
"bu0152",TRUE,TRUE,6566,357,98.8061398521887
"bu0153",TRUE,TRUE,222,3755,87.4427314985119
"bu0154",TRUE,TRUE,1744,1281,95.7161488813831
"bu0156",TRUE,TRUE,3062,1692,94.3417048456677
"bu0157",TRUE,TRUE,7689,0,100
"bu0159",TRUE,TRUE,6206,402,98.6556532789352
"bu0160",TRUE,TRUE,6668,253,99.153931043708
"bu0161",TRUE,TRUE,1592,1671,94.411931913186
"bu0162",TRUE,TRUE,3580,374,98.7492893689596
"bu0163",TRUE,TRUE,4745,1266,95.7663110724676
"bu0164",TRUE,TRUE,2166,1711,94.2781660702939
"bu0165",TRUE,TRUE,6341,268,99.1037688526235
"bu0167",TRUE,TRUE,6793,0,100
"bu0168",TRUE,TRUE,2058,1120,96.2545563990235
"bu0169",TRUE,TRUE,5291,456,98.475069391031
"bu0170",TRUE,TRUE,13887,0,100
"bu0171",TRUE,TRUE,6132,296,99.0101327625991
"bu0172",TRUE,TRUE,5847,268,99.1037688526235
"bu0173",TRUE,TRUE,6982,268,99.1037688526235
"bu0174",TRUE,TRUE,3872,749,97.495234591847
"bu0175",TRUE,TRUE,5102,235,99.2141256730094
